uuid,year,type,collection,title,handle_url,pdf_count,pdf_names,pdf_mb,pdf_urls,non_pdf_count,has_text_bundle
16feb24c-2017-4030-be8a-c6e085b91433,1999,book,1.2 Publicaciones institucionales,Mecanización informatizada de la gestión financiera en la empresa,https://hdl.handle.net/20.500.12390/3780,0,,0.0,,0,True
383b2756-5559-4f19-b444-728dd0ad1360,2023,report,1.1 Eventos institucionales,Impactos económicos y de bienestar de la inversión en CTI en la economía peruana: basado en un modelo computable de equilibrio general,https://hdl.handle.net/20.500.12390/3213,1,Impactos economicos inversion CTI - ROCOIE10-2022 - Version Final.pdf,1.5,https://repositorio.concytec.gob.pe/server/api/core/bitstreams/eb42b5e9-183b-507e-2cd5-6a90986dc2e9/content,0,True
380ca723-388d-4e7b-8106-72658c41927b,1994,book,1.2 Publicaciones institucionales,Genética de la calidad de la carne bovina,https://hdl.handle.net/20.500.12390/3721,0,,0.0,,0,False
7caea84f-0a76-45a1-b4ef-04aebceb8003,2018,conferenceObject,1.1 Eventos institucionales,Fundanet: gestión de información sobre proyectos y financiamiento de investigación,https://hdl.handle.net/20.500.12390/35,1,CONCYTEC0000012.pdf,2.1,https://repositorio.concytec.gob.pe/server/api/core/bitstreams/a845ed0e-ce41-c1ec-0dc8-24495347322b/content,0,True
9bf660cc-fc52-4adf-8074-70b376ddcf42,1988,book,1.2 Publicaciones institucionales,Química: Obra de referencia y consulta para educación secundaria,https://hdl.handle.net/20.500.12390/3777,0,,0.0,,0,True
6ba76ae8-6ccd-4a24-9a0d-55d871bcd7cc,2021,technicalDocumentation,1.1 Eventos institucionales,Software DSpace - v6.3: manual de instalación,https://hdl.handle.net/20.500.12390/2276,1,SoftwareDSPACEv6.3_ManualdeInstalacion.pdf,1.6,https://repositorio.concytec.gob.pe/server/api/core/bitstreams/d32b56c3-ec93-116f-b2d6-6650217f72af/content,0,True
1a4b362b-02c4-4353-a0db-8cdd11f61249,2002,report,1.2 Publicaciones institucionales,Actas del foro anual 2001: Interculturalidad,https://hdl.handle.net/20.500.12390/3740,0,,0.0,,0,False
29488d02-6af6-4e23-a363-65ead0b35b7f,2015,book,1.1 Eventos institucionales,Plan Bicentenario Actualizado - Documento preliminar,https://hdl.handle.net/20.500.12390/393,1,plan_estrategico_de_desarrollo_nacional_actualizado_-_documento_preliminar.pdf,8.9,https://repositorio.concytec.gob.pe/server/api/core/bitstreams/1d6aca69-6bda-4192-e1b7-ddf8e4ac11ad/content,0,True
35527710-b165-4e5b-b7d8-7d977d6db00f,2022,conferenceObject,1.1 Eventos institucionales,¿Y si...? Los sistemas de información para la investigación pudieran interoperar de verdad?,https://hdl.handle.net/20.500.12390/3129,1,HatumTinkuy2022_VancauwenberghS_2.pdf,1.6,https://repositorio.concytec.gob.pe/server/api/core/bitstreams/6fc31b19-0a18-0cba-7135-f1f4fdcaa1c2/content,0,True
c92a9132-3958-41e2-9412-190d8d56cd41,2019,conferenceObject,1.1 Eventos institucionales,Implementación de ORCID en el Sistema de Revistas Científicas de la Universidad Distrital Francisco José de Caldas (Colombia),https://hdl.handle.net/20.500.12390/452,1,5_piraquive_f-ORCID2019.pdf,9.2,https://repositorio.concytec.gob.pe/server/api/core/bitstreams/84b8996f-e289-4c9c-f1d6-01974d7fded7/content,0,True
